"label","LonX","LatY"
"ABATE-ANTONINO",755180.987345994,220234.21559158
"BRACCO-IGNAZIO",756263.621767558,216773.543326498
"EVOLA-SALVATORE",754718.072332556,216293.963977732
"FINAZZO-SALVATORE",751695.122187046,229174.164377922
"POLIZZI-MICHAEL",751242.065985817,215922.063651602
"BARTOLOTTA-DOMIANO",750517.325871674,208705.64899279
"BARTOLOTTA-MATTEO",750520.156177307,208627.752863827
"BOMMARITO-JOSEPH-LONG",752434.818537637,209875.641766591
"BOMMARITO-JOSEPH-SCARFACE",734471.125230537,213063.253799496
"BUFALINO-WILLIAM",747942.726289033,210879.60782764
"CAVATAIO-PETER",752578.206888523,206869.39331077
"CIMINO-PAUL",746491.08040573,206793.707155253
"CORRADO-DOMINICK",750734.873954253,210413.861462775
"CORRADO-LAWRENCE",749904.061616445,208805.475028574
"DANNA-ANTHONY",753020.866066747,206919.107958081
"DITTA-GIUSEPPE",748231.300808199,209722.98415722
"DITTA-NICOLA",749976.11798571,208863.61650341
"FINAZZO-VINCENT",750811.000882854,207871.893369975
"GAUDINO-PETER",752329.151519673,214561.60307901
"GIACALONE-ANTHONY",752917.392504959,206826.289943942
"GIACALONE-VITO",752317.070733515,207460.098094991
"IRACI-FRANCESCO",748977.991790497,211405.69939156
"LICAVOLI-PETER",752167.659786272,208176.556897093
"LOMEDICO-FRANCESCO",750979.523531245,207766.532221572
"LUCIDO-SALVATORE",754580.496032612,214444.355835084
"MELI-ANGELO",752319.574836634,208748.893890206
"MELI-FRANK",748169.016651878,210998.81214678
"MELI-VINCENT",753829.611323682,212716.270396022
"PRIZIOLA-JOHN",752293.473153202,208792.445221682
"QUASARANO-JOSEPH",754246.641832444,212565.038548236
"QUASARANO-RAFFAELE",755337.227584424,213360.805455351
"RANDAZZO-VINCENZO",741571.725026097,209153.113176246
"RUBINO-MICHAEL",752762.26874567,208142.793479271
"SPICA-GIOVANNI",745758.918111812,206311.887183369
"TERAMINE-ANTHONY",752878.332356483,209913.943117603
"TIMPA-ERASIMO",751665.636464339,214915.039460808
"TOCCO-GUGLIELMO",752551.464026258,206912.92043467
"TOCCO-PETER",755527.757517407,213101.219967222
"TOCCO-PIETRO",745376.879603892,203142.429119086
"ZERILLI-JOSEPH",752683.289477563,206695.194297989
