"label","LonX","LatY"
"P1",-73.92782088,40.76761629
"P1",-73.92457256,40.76926521
"P1",-73.93626772,40.7738775
"P1",-73.92830784,40.77454777
"P1",-73.92830784,40.77454777
"P1",-73.94053456,40.76342292
"P1",-73.93036546,40.76449075
"P1",-73.93582071,40.76863091
"P1",-73.92782088,40.76761629
"P1",-73.92231768,40.76721945
"P1",-73.92108064,40.76319941
"P1",-73.91285779,40.77435984
"P1",-73.92378849,40.76122609
"P1",-73.92231768,40.76721945
"P1",-73.9269028,40.75737884
"P1",-73.92425289,40.76472456
"P1",-73.92744327,40.77284478
"P1",-73.92987945,40.77360955
"P1",-73.93181711,40.77421423
"P1",-73.92051816,40.77590393
"P1",-73.93105722,40.75497417
"P1",-73.9221954,40.76047534
"P1",-73.93398092,40.76282598
"P1",-73.92266322,40.76396631
"P1",-73.92590027,40.77226209
"P1",-73.92698824,40.76272543
"P1",-73.93582071,40.76863091
"P1",-73.9313176,40.76912321
"P1",-73.91977765,40.76615218
"P1",-73.92033084,40.76811353
"P1",-73.92538015,40.76196969
"P1",-73.93493511,40.76701302
"P1",-73.92266322,40.76396631
"P1",-73.93343259,40.77302762
"P1",-73.92602208,40.7757304
"P1",-73.91094175,40.76885247
"P1",-73.93224924,40.76463928
"P1",-73.91948388,40.7624491
"P1",-73.92899235,40.77214955
"P1",-73.93343259,40.77302762
"P1",-73.92530123,40.75662875
"P1",-73.92217338,40.77607987
"P1",-73.93538673,40.76135459
"P1",-73.93158049,40.76170595
"P1",-73.9221954,40.76047534
"P2",-73.93726258,40.82916466
"P2",-73.94214147,40.83780285
"P2",-73.94227897,40.84215434
"P2",-73.93823619,40.82787734
"P2",-73.93726258,40.82916466
"P2",-73.94351366,40.83593313
"P2",-73.93590517,40.82598004
"P2",-73.94582395,40.83276546
"P2",-73.94079409,40.84468643
"P2",-73.93726258,40.82916466
"P2",-73.94442546,40.83468077
"P2",-73.94429621,40.83707743
"P2",-73.94079409,40.84468643
"P2",-73.93726258,40.82916466
"P2",-73.93726258,40.82916466
"P2",-73.93638317,40.83785012
"P2",-73.94227897,40.84215434
"P2",-73.94227897,40.84215434
"P2",-73.93517146,40.84735795
"P2",-73.93592813,40.84851921
"P2",-73.93726258,40.82916466
"P2",-73.93726258,40.82916466
"P2",-73.93726258,40.82916466
"P2",-73.94227897,40.84215434
"P2",-73.94227897,40.84215434
"P2",-73.93952356,40.8478384
"P2",-73.93726258,40.82916466
"P2",-73.94779618,40.83445161
"P2",-73.92810747,40.83099653
"P2",-73.93823619,40.82787734
"P2",-73.93726258,40.82916466
