"Source","Target"
"SALERNO-ANTHONY","ALBERO-CHARLES"
"CARUSO-FRANK","NOBILE-GEORGE"
"LISI-GAETANO","MARI-FRANK"
"PROFACI-FRANK","PROFACI-GIUSEPPE"
"BARRA-JOSEPH","PISCIOTTA-ROSARIO"
"GUIPPONE-ROBERT","MAZZIE-ROCCO"
"BEHRMAN-NATHAN","VELLUCCI-ANTHONY"
"LOCASCIO-CARMINE","MARONE-JOSEPH"
"LOPICCOLO-GIUSEPPE","GAMBINO-PAOLO"
"LESSA-DANIEL","TOLENTINO-NICHOLAS"
"GAMBINO-CARLO","SCALICI-GIACOMO"
"DIMAGGIO-ROSARIO","PRISINZANO-FRANK"
"MANFREDONIA-RICHARD","ALTIMARI-MICHAEL"
"BENDENELLI-JOSEPH","MANCUSO-ANTHONY"
"ROMANO-NUNZIO","MAZZIE-ROCCO"
"MARONE-JOSEPH","VINTALORO-JAMES"
"BENDENELLI-JOSEPH","PALADINO-CARMINE"
"CLEMENTE-JOSEPH","MORSELLINO-VINCENZO"
"CLEMENTE-MICHAEL","DIPALERMO-JOSEPH"
"CICCONE-ANTHONY","MAZZIE-ROCCO"
"PAGANO-JOSEPH","RAGONE-JOSEPH"
"GUIPPONE-ROBERT","SANCINELLA-ROCCO"
"DEMARTINO-THEODORE","TOCCO-JOSEPH"
"BARRA-JOSEPH","CORALLUZZO-EARL"
"MARONE-JOSEPH","TANTILLO-ENRICO"
"TOURINE-CHARLES-JR","COSTIGLIA-FRANCISCO"
"CURCIO-CHARLES","TOLENTINO-NICHOLAS"
"CORRAO-VINCENT","CELI-ARTHUR"
"CELI-ARTHUR","CINQUEGRANA-BENEDETTO"
"TANTILLO-ENRICO","STOPELLI-INNOCENZIO"
"LATONA-JOSEPH","VELLUCCI-ANTHONY"
"ALBERO-CHARLES","TOCCO-JOSEPH"
"ANASTASIO-ANTONIO","DIOGUARDI-JOHN"
"BISOGNO-JOSEPH","VALACHI-JOSEPH"
"PRESINZANO-ANGELO","TUMINARO-ANGELO"
"BARCELLONA-CHARLES","DIPALERMO-JOSEPH"
"ANASTASIO-ANTONIO","NOBILE-GEORGE"
"LOCASCIO-CARMINE","KASSOP-SAMUEL"
"PELLEGRINO-PETER","PELLEGRINO-ROCCO"
"CARUSO-FRANK","TOCCO-JOSEPH"
"ARMONE-JOSEPH","NOBILE-GEORGE"
"RINALDI-ROSARIO","CORALLO-ANTHONY"
"ZACCARO-PATSY","TAUBMAN-MOISCHE"
"MARONE-JOSEPH","DENTICO-JOSEPH"
"LANDI-ALBERT","TIERI-FRANK"
"RICCOBONO-JOSEPH","CASTELLANO-PAUL"
"OFRIA-SEBASTIAN","MAURO-VINCENZO"
"CASTALDI-ANTHONY","MAURO-VINCENZO"
"SPECIALE-SALVATORE","LOMBARDOZZI-CARMINE"
"MAZZIE-ROCCO","ORMENTO-JOHN"
"ALBANESE-PHILIP","DONATO-FRANK"
"PAGANO-JOSEPH","MEZZASALMA-ROSARIO"
"CASTALDI-ANTHONY","PINTO-ANTHONY"
"FRASCA-COSMO","DEFEO-PETER"
"FRANCOMANO-ANTHONY","MASSI-JAMES"
"BENDENELLI-JOSEPH","TORTORICI-JOSEPH"
"DEMARTINO-THEODORE","ORMENTO-JOHN"
"DIBRIZZI-ALEXANDER","DIOGUARDI-JOHN"
"CORALLUZZO-EARL","BARRA-ROCCO"
"BARCELLONA-CHARLES","ORMENTO-JOHN"
"CELI-ARTHUR","NOBILE-GEORGE"
"FOTI-JOSEPH","TOLENTINO-NICHOLAS"
"FRASCA-COSMO","SMURRA-GEORGE"
"GENESE-PASQUALE","VENTO-JOSEPH"
"ANNICCHIARICO-ANTHONY","MANNARINO-GIACINTO"
"FOCERI-LOUIS","CORREALE-PAUL"
"LOIACANO-ANGELO","MOCCARDI-FRANK"
"CIRELLI-JOSEPH","ALBERTI-ANDREW"
"CONTALDO-THOMAS","SCHIPANI-JOSEPH"
"COSTIGLIA-FRANCISCO","PROFACI-GIUSEPPE"
"LANDI-ALBERT","FRASCA-COSMO"
"ALBERO-CHARLES","MANNARINO-GIACINTO"
"DIPALERMO-PETER","DIPALERMO-CHARLES"
"LESSA-DANIEL","BORELLI-FRANK"
"BIVONA-JOSEPH","LACASCIA-CHARLES"
"PELLEGRINO-PETER","ORMENTO-JOHN"
"FRANCO-COSMO","TRAMAGLINO-EUGENE"
"PAPPADIA-ANDINNO","VENTO-JOSEPH"
"LUCCHESE-GAETANO","PROFACI-GIUSEPPE"
"ARMONE-JOSEPH","PAOLI-ORLANDO"
"BORELLI-FRANK","TOLENTINO-NICHOLAS"
"MARONE-JOSEPH","PATTI-SANTO"
"TOCCO-JOSEPH","DENTICO-JOSEPH"
"SPECIALE-SALVATORE","ORMENTO-JOHN"
"BRESCIA-LORENZO","LANZA-JOSEPH"
"LEO-ARTHUR","SALERNO-ANGELO"
"IAROSSI-LAWRENCE","PANZARINO-VITO"
"ARMONE-STEPHEN","TRAMAGLINO-EUGENE"
"RINALDI-ROSARIO","MAURO-VINCENZO"
"SCALICI-GIACOMO","SCARPULLA-MICHELE"
"CASTALDI-ANTHONY","CORONA-FRANK"
"MANCINO-FRANCESCO","MOCCARDI-FRANK"
"ALTIMARI-MICHAEL","PANICA-VICTOR"
"TRUPIA-CHARLES","SORGE-SANTO"
"SMURRA-GEORGE","MIRANDA-MICHELE"
"BARCELLONA-CHARLES","GALANTE-CARMINE"
"CICCONE-ANTHONY","CASTALDI-ANTHONY"
"ARMONE-JOSEPH","TRAMAGLINO-EUGENE"
"TORTORICI-JOSEPH","GRECO-FRANK"
"GALANTE-CARMINE","GAROFOLO-FRANK"
"MIRAGLIA-LESTER","VALACHI-JOSEPH"
"BEHRMAN-NATHAN","FOCERI-LOUIS"
"LANZA-JOSEPH","RAO-VINCENZO"
"CATALDO-JOSEPH","MAURO-VINCENZO"
"CLEMENTE-MICHAEL","DIPALERMO-CHARLES"
"MARONE-JOSEPH","DISTEFANO-VINCENT"
"DONGARRO-CHARLES","RAO-JOSEPH"
"IAROSSI-LAWRENCE","SIANO-FIORE"
"MILO-THOMAS","MAURO-VINCENZO"
"CARUSO-FRANK","STOPELLI-INNOCENZIO"
"LANZA-JOSEPH","LAPI-JOSEPH"
"ARMONE-JOSEPH","ARMONE-STEPHEN"
"GENNARO-JOSEPH","GIGANTE-VINCENT"
"FRASCA-COSMO","PROFACI-GIUSEPPE"
"GUIPPONE-ROBERT","MIRAGLIA-LESTER"
"MAZZIE-ROCCO","BARBATO-SALVATORE"
"ALBASI-JOHN","SALERNO-ANGELO"
"BENDENELLI-JOSEPH","RAO-JOSEPH"
"MANNARINO-GIACINTO","DIGIOVANNA-JOSEPH"
"ORLANDO-CALOGERO","SORGE-SANTO"
"ORLANDO-LORENZO","TOLENTINO-NICHOLAS"
"COSTIGLIA-FRANCISCO","SABELLA-JAMES"
"CIRELLI-JOSEPH","LUCCHESE-GAETANO"
"PICCARELLI-JAMES","ORMENTO-JOHN"
"PACELLA-LOUIS","PAGANO-PASQUALE"
"ANASTASIO-ANTONIO","CARRUBBA-CORRADO"
