"Source","Target"
"CARUSO-FRANK","LISI-GAETANO"
"LANSKY-MEYER","GAMBINO-CARLO"
"CARUSO-FRANK","DIMAGGIO-ROSARIO"
"DESIMONE-FRANK","DRAGNA-FRANK-TWOEYE"
"SCOZZARI-SIMONE","DRAGNA-FRANK-TWOEYE"
"LOCOCO-THOMAS","DELUCA-FRANK"
"LOMBARDO-PIETRO","MATRANGA-FRANK"
"LANSKY-MEYER","MANNARINO-GABRIEL"
"ABBRESCIA-ANGELO","SANTORO-SALVATORE"
"LOCASCIO-CARMINE","SANTORO-SALVATORE"
"CARUSO-FRANK","MARONE-JOSEPH"
"LOCASCIO-CARMINE","MARONE-JOSEPH"
"BENDENELLI-JOSEPH","MARONE-JOSEPH"
"SANTORO-SALVATORE","MARONE-JOSEPH"
"BENDENELLI-JOSEPH","PALADINO-CARMINE"
"SALERNO-ANTHONY","COPPOLA-MICHAEL"
"DEMARTINO-BENJAMIN","COPPOLA-MICHAEL"
"LANSKY-MEYER","COPPOLA-MICHAEL"
"LESSA-DANIEL","COPPOLA-MICHAEL"
"MANNARINO-GABRIEL","COPPOLA-MICHAEL"
"SANTORO-SALVATORE","CICCONE-ANTHONY"
"SALERNO-ANTHONY","GRECO-FRANK"
"COPPOLA-MICHAEL","GRECO-FRANK"
"DANIELLO-JOHN","PAGANO-JOSEPH"
"DEMARTINO-BENJAMIN","DEMARTINO-THEODORE"
"DRAGNA-FRANK-TWOEYE","LIMANDRI-JOSEPH"
"BARRA-JOSEPH","CORALLUZZO-EARL"
"COPPOLA-MICHAEL","CORALLUZZO-EARL"
"DESIMONE-FRANK","DIECIDUE-ANTONIO"
"MANFREDONIA-RICHARD","TANTILLO-ENRICO"
"MARONE-JOSEPH","TANTILLO-ENRICO"
"ABBRESCIA-ANGELO","CURCIO-CHARLES"
"SANTORO-SALVATORE","EVOLA-NATALE"
"LOCASCIO-CARMINE","LOCASCIO-PETER"
"DIMAGGIO-ROSARIO","LOCASCIO-PETER"
"LOCASCIO-CARMINE","DIOGUARDI-FRANK"
"COPPOLA-MICHAEL","DIOGUARDI-FRANK"
"LOCASCIO-PETER","DIOGUARDI-FRANK"
"LANSKY-MEYER","PRESTA-MARIO"
"IPPOLITO-FRANK","FRISCIA-AUGUSTINE"
"LOCOCO-THOMAS","DUARDI-JAMES"
"LOCOCO-THOMAS","DELUCA-JOSEPH"
"DELUCA-FRANK","DELUCA-JOSEPH"
"DIMAGGIO-ROSARIO","CORRAO-VINCENT"
"LOCASCIO-PETER","CORRAO-VINCENT"
"LIMANDRI-JOSEPH","DIPOLLITO-JOSEPH"
"PAGANO-JOSEPH","MEZZASALMA-ROSARIO"
"PAPALARDO-SYLVESTER","POLIAFICO-SALVATORE"
"ROMANO-NUNZIO","POLIAFICO-SALVATORE"
"LOCASCIO-CARMINE","CELI-ARTHUR"
"LOCASCIO-PETER","CELI-ARTHUR"
"CORRAO-VINCENT","CELI-ARTHUR"
"CARUSO-FRANK","STOPELLI-INNOCENZIO"
"MANFREDONIA-RICHARD","STOPELLI-INNOCENZIO"
"MARONE-JOSEPH","STOPELLI-INNOCENZIO"
"TANTILLO-ENRICO","STOPELLI-INNOCENZIO"
"DIVARCO-JOSEPH","ACCARDO-ANTHONY"
"ALDERISIO-FELIX","ACCARDO-ANTHONY"
"LANSKY-MEYER","ACCARDO-ANTHONY"
"FINAZZO-SALVATORE","IRACI-FRANCESCO"
"LOCASCIO-CARMINE","LAPADURA-ANGELO"
"LIMANDRI-JOSEPH","LAPADURA-ANGELO"
"BEHRMAN-NATHAN","LATONA-JOSEPH"
"SALERNO-ANTHONY","ALBERO-CHARLES"
"LOCASCIO-CARMINE","ALBERO-CHARLES"
"SANTORO-SALVATORE","ALBERO-CHARLES"
"MARONE-JOSEPH","ALBERO-CHARLES"
"COPPOLA-MICHAEL","ALBERO-CHARLES"
"STOPELLI-INNOCENZIO","ALBERO-CHARLES"
"DIOGUARDI-FRANK","ANASTASIO-ANTONIO"
"SCOZZARI-SIMONE","DRAGNA-FRANK-ONEEYE"
"DRAGNA-FRANK-TWOEYE","DRAGNA-FRANK-ONEEYE"
"LIMANDRI-JOSEPH","DRAGNA-FRANK-ONEEYE"
"POLICASTRO-PETER","PRESINZANO-ANGELO"
"CORRAO-VINCENT","MARCHESE-IGNAZIO"
"ABBRESCIA-ANGELO","KASSOP-SAMUEL"
"LOCASCIO-CARMINE","KASSOP-SAMUEL"
"CICCONE-ANTHONY","KASSOP-SAMUEL"
"LOCASCIO-PETER","KASSOP-SAMUEL"
"MANFREDONIA-RICHARD","PELLEGRINO-PETER"
"CARUSO-FRANK","TOCCO-JOSEPH"
"DEMARTINO-BENJAMIN","TOCCO-JOSEPH"
"SANTORO-SALVATORE","TOCCO-JOSEPH"
"MARONE-JOSEPH","TOCCO-JOSEPH"
"DEMARTINO-THEODORE","TOCCO-JOSEPH"
"ALBERO-CHARLES","TOCCO-JOSEPH"
"DELUCA-FRANK","CHIAPETTA-VINCENT"
"DELUCA-JOSEPH","CHIAPETTA-VINCENT"
"BOMMARITO-JOSEPH-SCARFACE","ABATE-ANTONINO"
"LOCASCIO-CARMINE","ZACCARO-PATSY"
"CARUSO-FRANK","ORMENTO-JOHN"
"DEMARTINO-BENJAMIN","ORMENTO-JOHN"
"ABBRESCIA-ANGELO","ORMENTO-JOHN"
"LOCASCIO-CARMINE","ORMENTO-JOHN"
"SANTORO-SALVATORE","ORMENTO-JOHN"
"CICCONE-ANTHONY","ORMENTO-JOHN"
"DEMARTINO-THEODORE","ORMENTO-JOHN"
"DIECIDUE-ANTONIO","ORMENTO-JOHN"
"TANTILLO-ENRICO","ORMENTO-JOHN"
"EVOLA-NATALE","ORMENTO-JOHN"
"LOCASCIO-PETER","ORMENTO-JOHN"
"ALBERO-CHARLES","ORMENTO-JOHN"
"BARCELLONA-CHARLES","ORMENTO-JOHN"
"KASSOP-SAMUEL","ORMENTO-JOHN"
"PELLEGRINO-PETER","ORMENTO-JOHN"
"TOCCO-JOSEPH","ORMENTO-JOHN"
"ABATE-ANTONINO","ORMENTO-JOHN"
"MARONE-JOSEPH","DENTICO-JOSEPH"
"ALBERO-CHARLES","DENTICO-JOSEPH"
"TOCCO-JOSEPH","DENTICO-JOSEPH"
"CURCIO-CHARLES","LICCHI-JOSEPH"
"MANNARINO-GABRIEL","ERRA-PASQUALE"
"ROMANO-NUNZIO","ERRA-PASQUALE"
"COPPOLA-MICHAEL","ERRA-PASQUALE"
"DIOGUARDI-FRANK","ERRA-PASQUALE"
"CURCIO-CHARLES","LANDI-ALBERT"
"ROMANO-NUNZIO","CRISCI-ANTHONY"
"POLIAFICO-SALVATORE","CRISCI-ANTHONY"
"GUIMENTO-CASPER","MEDICO-WILLIAM"
"BLANDA-CHARLES","COLLETTI-VINCENZO"
"GUIPPONE-ROBERT","CASTALDI-ANTHONY"
"LOCASCIO-CARMINE","CASTALDI-ANTHONY"
"SANTORO-SALVATORE","CASTALDI-ANTHONY"
"CICCONE-ANTHONY","CASTALDI-ANTHONY"
"LOCASCIO-PETER","CASTALDI-ANTHONY"
"STOPELLI-INNOCENZIO","CASTALDI-ANTHONY"
"MARCHESE-IGNAZIO","CASTALDI-ANTHONY"
"KASSOP-SAMUEL","CASTALDI-ANTHONY"
"ORMENTO-JOHN","CASTALDI-ANTHONY"
"LOCOCO-THOMAS","CUSAMANO-JOSEPH"
"DELUCA-FRANK","CUSAMANO-JOSEPH"
"DELUCA-JOSEPH","CUSAMANO-JOSEPH"
"CHIAPETTA-VINCENT","CUSAMANO-JOSEPH"
"IDI-GIUSEPPE","LARASSO-LOUIS"
"DAGOSTINO-DOMINICK","MAGADDINO-ANTONINO"
"DRAGNA-FRANK-TWOEYE","DRAGNA-TOM"
"LIMANDRI-JOSEPH","DRAGNA-TOM"
"DRAGNA-FRANK-ONEEYE","DRAGNA-TOM"
"EVOLA-NATALE","RICCOBONO-JOSEPH"
"STOPELLI-INNOCENZIO","GIGANTE-VINCENT"
"LOMBARDO-PIETRO","EVOLA-SALVATORE"
"FINAZZO-SALVATORE","EVOLA-SALVATORE"
"GAMBINO-CARLO","SPECIALE-SALVATORE"
"EVOLA-NATALE","SPECIALE-SALVATORE"
"ORMENTO-JOHN","SPECIALE-SALVATORE"
"BENDENELLI-JOSEPH","TORTORICI-JOSEPH"
"COPPOLA-MICHAEL","TORTORICI-JOSEPH"
"GRECO-FRANK","TORTORICI-JOSEPH"
"ALBERO-CHARLES","TORTORICI-JOSEPH"
"ORMENTO-JOHN","TORTORICI-JOSEPH"
"MANNARINO-GABRIEL","ALAIMO-SALVATORE"
"MEDICO-WILLIAM","ALAIMO-SALVATORE"
"ACCARDO-ANTHONY","FISCHETTI-JOSEPH"
"GUIPPONE-ROBERT","MAZZIE-ROCCO"
"LESSA-DANIEL","MAZZIE-ROCCO"
"PAPALARDO-SYLVESTER","MAZZIE-ROCCO"
"ROMANO-NUNZIO","MAZZIE-ROCCO"
"CICCONE-ANTHONY","MAZZIE-ROCCO"
"CURCIO-CHARLES","MAZZIE-ROCCO"
"LOCASCIO-PETER","MAZZIE-ROCCO"
"POLIAFICO-SALVATORE","MAZZIE-ROCCO"
"KASSOP-SAMUEL","MAZZIE-ROCCO"
"ORMENTO-JOHN","MAZZIE-ROCCO"
"LICCHI-JOSEPH","MAZZIE-ROCCO"
"CRISCI-ANTHONY","MAZZIE-ROCCO"
"BLANDA-CHARLES","MAZZA-FRANK"
"COLLETTI-VINCENZO","MAZZA-FRANK"
"CARUSO-FRANK","ALBANESE-PHILIP"
"MARONE-JOSEPH","ALBANESE-PHILIP"
"CORRAO-VINCENT","ALBANESE-PHILIP"
"OFRIA-SEBASTIAN","ALBANESE-PHILIP"
"POLICASTRO-PETER","ZICARELLI-JOSEPH"
"SANTORO-SALVATORE","PINTO-ANTHONY"
"ORMENTO-JOHN","PINTO-ANTHONY"
"CASTALDI-ANTHONY","PINTO-ANTHONY"
"POLLINO-DOMINICK","BRUNO-ANGELO"
"LOCASCIO-CARMINE","SETTIMO-SALVATORE"
"LOPICCOLO-GIUSEPPE","SETTIMO-SALVATORE"
"GAMBINO-CARLO","SETTIMO-SALVATORE"
"MEZZASALMA-ROSARIO","SETTIMO-SALVATORE"
"LANDI-ALBERT","FRASCA-COSMO"
"GIGANTE-VINCENT","FRASCA-COSMO"
"SANTORO-SALVATORE","POLIZZI-MICHAEL"
"BOMMARITO-JOSEPH-SCARFACE","POLIZZI-MICHAEL"
"ORMENTO-JOHN","POLIZZI-MICHAEL"
"ALDERISIO-FELIX","RUSSO-PATRICK"
"ORMENTO-JOHN","RUSSO-PATRICK"
"SANTORO-SALVATORE","FRANCOMANO-ANTHONY"
"PELLEGRINO-PETER","IANNI-JOSEPH"
"ORMENTO-JOHN","IANNI-JOSEPH"
"CARUSO-FRANK","TRONOLONE-JOHN"
"ALAIMO-SALVATORE","PARISI-GIOACCHINO"
"CLEMENTE-MICHAEL","DIBRIZZI-ALEXANDER"
"ANASTASIO-ANTONIO","DIBRIZZI-ALEXANDER"
"DESIMONE-FRANK","PINELLI-ANTHONY"
"DRAGNA-FRANK-TWOEYE","PINELLI-ANTHONY"
"ACCARDO-ANTHONY","PINELLI-ANTHONY"
"EVOLA-NATALE","TURRIGIANO-PASQUALE"
